Sl. No.,State/UT,2023 - KVS,2023 - NVS,2024 - KVS,2024 - NVS,2025 - KVS,2025 - NVS,2025 - NCERT*,Total
1,Andaman and Nicobar Islands,2,1,0,1,0,0,0,4
2,Andhra Pradesh,22,13,8,2,2,0,0,47
3,Arunachal Pradesh,7,6,4,8,0,0,0,25
4,Assam,29,1,6,26,0,0,0,62
5,Bihar,26,28,4,10,0,0,0,68
6,Chandigarh,4,1,0,0,0,0,0,5
7,Chhattisgarh,17,20,5,7,2,0,0,51
8,Dadra and Nagar Haveli and Daman and Diu,0,2,0,1,0,0,0,3
9,Delhi,34,0,4,2,0,0,0,40
10,Goa,4,1,1,1,0,0,0,7
11,Gujarat,14,24,18,9,1,0,0,66
12,Haryana,25,16,2,5,0,0,0,48
13,Himachal Pradesh,9,12,6,0,0,0,0,27
14,Jammu and Kashmir,11,10,4,5,0,0,0,30
15,Jharkhand,18,20,5,5,0,0,0,48
16,Karnataka,32,15,6,15,0,0,1,69
17,Kerala,31,0,2,14,0,0,0,47
18,Ladakh,2,2,0,0,0,0,0,4
19,Lakshdweep,1,0,0,1,0,0,0,2
20,Madhya Pradesh,71,2,12,51,3,0,1,140
21,Maharashtra,41,32,9,2,0,0,0,84
22,Manipur,1,0,0,10,0,0,0,11
23,Meghalaya,2,1,4,6,0,0,0,13
24,Mizoram,0,2,2,6,0,0,0,10
25,Nagaland,1,3,0,7,0,0,0,11
26,Odisha,37,26,6,5,2,0,1,77
27,Puducherry,2,2,0,2,0,0,0,6
28,Punjab,35,16,1,7,1,0,0,60
29,Rajasthan,57,35,3,0,3,0,1,99
30,Sikkim,0,3,0,1,0,0,0,4
31,Tamil Nadu,24,0,10,0,0,0,0,34
32,Telangana,22,1,2,8,3,0,0,36
33,Tripura,3,3,1,3,0,0,0,10
34,Uttar Pradesh,80,1,5,74,3,0,0,163
35,Uttarakhand,23,13,1,0,0,0,0,37
36,West Bengal,43,0,3,14,0,0,0,60
Grand Total,Grand Total,730,312,134,308,20,0,4,1508
