Sl. No.,State/UT,2023 (in Number),2024 (in Number),Increase/Decrease (in Number),Percentage Share in Total Increase and Decrease
1,Andhra Pradesh,8137,8346,209,4.88
2,Arunachal Pradesh,145,168,23,0.54
3,Assam,3296,3351,55,1.28
4,Bihar,8873,9347,474,11.06
5,Chhattisgarh,6166,6945,779,18.18
6,Goa,290,286,-4,-0.09
7,Gujarat,7854,7717,-137,-3.20
8,Haryana,4968,4689,-279,-6.51
9,Himachal Pradesh,889,869,-20,-0.47
10,Jharkhand,4173,4114,-59,-1.38
11,Karnataka,12321,12390,69,1.61
12,Kerala,4080,3880,-200,-4.67
13,Madhya Pradesh,13798,14791,993,23.17
14,Maharashtra,15366,15715,349,8.14
15,Manipur,73,72,-1,-0.02
16,Meghalaya,168,197,29,0.68
17,Mizoram,96,110,14,0.33
18,Nagaland,86,62,-24,-0.56
19,Odisha,5739,6142,403,9.40
20,Punjab,4829,4759,-70,-1.63
21,Rajasthan,11762,11790,28,0.65
22,Sikkim,57,67,10,0.23
23,Tamil Nadu,18347,18449,102,2.38
24,Telangana,7660,7949,289,6.74
25,Tripura,261,226,-35,-0.82
26,Uttarakhand,1054,1090,36,0.84
27,Uttar Pradesh,23652,24118,466,10.88
28,West Bengal,6027,6676,649,15.15
29,Andaman and Nicobar Islands,24,29,5,0.12
30,Chandigarh,67,75,8,0.19
31,Dadra and Nagar Haveli and Daman and Diu,74,95,21,0.49
32,Delhi,1457,1551,94,2.19
33,Jammu and Kashmir,893,831,-62,-1.45
34,Ladakh,59,61,2,0.05
35,Lakshadweep,0,0,0,0.00
36,Puducherry,149,218,69,1.61
Total,Total,172890,177175,4285,100
